id,title,description,availability,condition,price,link,image_link,brand,google_product_category
sioux,Boucles Sioux,Boucles d'oreilles talisman en acier inoxydable doré. Ce talisman suggère les savoirs anciens. Il insuffle une énergie intérieure. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,30.00 EUR,https://www.elayatalismans.com/produits/sioux,https://www.elayatalismans.com/assets/products/11-sioux-still.png,ELAYA Talismans,188
lakota,Bague Lakota,Bague talisman en acier inoxydable doré. Ce talisman incarne la force de la nature. Il donne un ancrage rassurant. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,25.00 EUR,https://www.elayatalismans.com/produits/lakota,https://www.elayatalismans.com/assets/products/12-lakota-still.png,ELAYA Talismans,188
captain,Collier Captain,Collier talisman en acier inoxydable doré. Ce talisman évoque le charme des bords de mer. Il donne fraîcheur et légèreté. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,28.00 EUR,https://www.elayatalismans.com/produits/captain,https://www.elayatalismans.com/assets/products/13-captain-still.jpg,ELAYA Talismans,188
bay,Bracelet Bay,Bracelet talisman en acier inoxydable doré. Ce talisman révèle les trésors du rivage. Il apporte chance et joie. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,30.00 EUR,https://www.elayatalismans.com/produits/bay,https://www.elayatalismans.com/assets/products/14-bay-still.png,ELAYA Talismans,188
compass,Bague Compass,Bague talisman en acier inoxydable doré. Ce talisman suggère les reflets de l'eau sous le soleil. Il apporte élégance et apaisement. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,30.00 EUR,https://www.elayatalismans.com/produits/compass,https://www.elayatalismans.com/assets/products/15-compass-still.png,ELAYA Talismans,188
nantucket,Boucles Nantucket,Boucles d'oreilles talisman en acier inoxydable doré. Ce talisman rappelle le scintillement de l'eau. Il confère chic et rayonnement. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,25.00 EUR,https://www.elayatalismans.com/produits/nantucket,https://www.elayatalismans.com/assets/products/16-nantucket-still.png,ELAYA Talismans,188
yellowstone,Collier Yellowstone,Collier talisman en acier inoxydable doré. Ce talisman incarne le calme des forêts. Il apporte équilibre et paix intérieure. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,28.00 EUR,https://www.elayatalismans.com/produits/yellowstone,https://www.elayatalismans.com/assets/products/17-yellowstone-still.png,ELAYA Talismans,188
yosemite,Bracelet Yosemite,Bracelet talisman en acier inoxydable doré. Ce talisman évoque la richesse de la nature. Il insuffle une sensation de plénitude. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,27.00 EUR,https://www.elayatalismans.com/produits/yosemite,https://www.elayatalismans.com/assets/products/18-yosemite-still.png,ELAYA Talismans,188
redwood,Boucles Redwood,Boucles d'oreilles talisman en acier inoxydable doré. Ce talisman suggère les arbres et leurs vertus. Il génère réconfort et apaisement. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,22.00 EUR,https://www.elayatalismans.com/produits/redwood,https://www.elayatalismans.com/assets/products/19-redwood-still.jpg,ELAYA Talismans,188
sierra,Bague Sierra,Bague talisman en acier inoxydable doré. Ce talisman dévoile la lumière de la forêt. Il donne une sensation de reconnexion à l'essentiel. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,27.00 EUR,https://www.elayatalismans.com/produits/sierra,https://www.elayatalismans.com/assets/products/20-sierra-still.png,ELAYA Talismans,188
manhattan,Collier Manhattan,Collier talisman en acier inoxydable doré. Ce talisman évoque l'exaltation urbaine. Il insuffle assurance et enthousiasme. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,28.00 EUR,https://www.elayatalismans.com/produits/manhattan,https://www.elayatalismans.com/assets/products/21-manhattan-still.png,ELAYA Talismans,188
bleecker,Bracelet Bleecker Street,Bracelet talisman en acier inoxydable doré. Ce talisman suggère l'effervescence citadine. Il amène puissance et réussite. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,28.00 EUR,https://www.elayatalismans.com/produits/bleecker,https://www.elayatalismans.com/assets/products/22-bleecker-still.png,ELAYA Talismans,188
skyline,Boucles Skyline,Boucles d'oreilles talisman en acier inoxydable doré. Ce talisman révèle les lumières nocturnes de la ville. Il apporte prestance et convoitise. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,23.00 EUR,https://www.elayatalismans.com/produits/skyline,https://www.elayatalismans.com/assets/products/23-skyline-still.png,ELAYA Talismans,188
downtown,Bague Downtown,Bague talisman en acier inoxydable doré. Ce talisman rappelle les lumières de la ville vives et changeantes. Il donne une allure captivante. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,28.00 EUR,https://www.elayatalismans.com/produits/downtown,https://www.elayatalismans.com/assets/products/24-downtown-still.png,ELAYA Talismans,188
california,Pince à cheveux California,Pince à cheveux talisman en acier inoxydable doré. Ce talisman évoque la grâce des contes. Il apporte douceur et émerveillement. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,28.00 EUR,https://www.elayatalismans.com/produits/california,https://www.elayatalismans.com/assets/products/25-california-still.png,ELAYA Talismans,188
crystal,Boucles Crystal,Boucles d'oreilles talisman en acier inoxydable doré. Ce talisman capture la lumière des cristaux. Il insuffle magie et délicatesse. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,26.00 EUR,https://www.elayatalismans.com/produits/crystal,https://www.elayatalismans.com/assets/products/26-crystal-still.png,ELAYA Talismans,188
celestia,Barrettes Celestia,Barrettes talisman en acier inoxydable doré. Ce talisman évoque les étoiles des nuits de conte. Il apporte grâce et enchantement. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,24.00 EUR,https://www.elayatalismans.com/produits/celestia,https://www.elayatalismans.com/assets/products/27-celestia-still.png,ELAYA Talismans,188
fleur-de-lys,Bague Fleur de Lys,Bague talisman en acier inoxydable doré. Ce talisman rappelle les ornements royaux. Il confère noblesse et élégance intemporelle. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,29.00 EUR,https://www.elayatalismans.com/produits/fleur-de-lys,https://www.elayatalismans.com/assets/products/28-fleur-de-lys-still.png,ELAYA Talismans,188
